Time elapsed was ,322465468,ns or,0.322465468,s
Time elapsed was ,344475680,ns or,0.34447568,s
Time elapsed was ,341900858,ns or,0.341900858,s
Time elapsed was ,301855737,ns or,0.301855737,s
Time elapsed was ,306064393,ns or,0.306064393,s
Time elapsed was ,327464836,ns or,0.327464836,s
Time elapsed was ,339563044,ns or,0.339563044,s
Time elapsed was ,320184299,ns or,0.320184299,s
Time elapsed was ,326642822,ns or,0.326642822,s
Time elapsed was ,319967574,ns or,0.319967574,s
Mean,325058471.1,ns or,0.3250584711,s
